file_name,text
5111.png,"circle|temporal|Year|quantitative|Success rate(as % of new cases)"
16282.png,"bar|quantitative|Women receiving prenatal care (%)|nominal|Country"
16762.png,"bar|quantitative|Volume(million ton-km)|nominal|Country"
4806.png,"circle|temporal|Year|quantitative|Cost(current US$)"
32242.png,"bar|temporal|Year|quantitative|Value added (constant Local Currency Unit)"
22341.png,"line|temporal|Year|quantitative|Strength Index( 0 = weak,12 = strong)"
22186.png,"line|temporal|Year|quantitative|Cost (as % of GNI)"
32772.png,"bar|nominal|Country|quantitative|% of poverty lines"
4843.png,"circle|temporal|Year|quantitative|Discrepancy in expenditure estimate of GDP (constant LCU)"
21728.png,"line|temporal|Year|quantitative|new registrations per 1,000 people ages 15-64"
4603.png,"circle|temporal|Year|quantitative|Per cubic meter of total freshwater withdrawal(constant 2005 US$ GDP)"
16432.png,"bar|quantitative|Birth Registration (in %)|temporal|Year"
32455.png,"bar|temporal|Year|quantitative|Number of anaemic children (in %)"
16061.png,"bar|quantitative|Trained Teachers (% of total teachers)|temporal|Year"
21823.png,"line|temporal|Year|quantitative|Number of meetings(average for affected firms)"
32114.png,"bar|temporal|Year|quantitative|Coverage(% of people living with HIV)"
4633.png,"circle|temporal|Year|quantitative|Expenditure (as % of GNI)"
15022.png,"bar|quantitative|Number of days|nominal|Country"
21414.png,"line|temporal|Year|quantitative|Annual freshwater withdrawals (% of internal resources)"
16420.png,"bar|quantitative|Cost (as % of GNI)|temporal|Year"
5519.png,"circle|temporal|Year|quantitative|% of households with a female head"
5021.png,"circle|temporal|Year|quantitative|Amount of electricity produced(kWh)"
16712.png,"bar|quantitative|Cost of computers, communications and other services (% of commerical service exports)|nominal|Country"
16281.png,"bar|quantitative|Twenty- foot Equivalent Units(TEU)|temporal|Year"
31823.png,"bar|temporal|Year|quantitative|Unemployed females (as % of female labor force)"
4665.png,"circle|temporal|Year|quantitative|Aid flow (current US$)"
33460.png,"bar|temporal|Year|quantitative|Amount (in $)"
32867.png,"bar|temporal|Year|quantitative|Investment (in US$)"
16628.png,"bar|quantitative|Exports (% of total merchandise exports)|temporal|Year"
5222.png,"circle|temporal|Year|quantitative|Full-time workers(% of total employed)"
21805.png,"line|temporal|Year|quantitative|Unemployed population (as % of total labor force ages 15-24)"
15618.png,"bar|quantitative|Success rate(as % of new cases)|temporal|Year"
15215.png,"bar|quantitative|Number of neonatal deaths|nominal|Country"
32879.png,"bar|temporal|Year|quantitative|Strength Index( 0 = weak,12 = strong)"
32818.png,"bar|temporal|Year|quantitative|Debt(current US$)"
22410.png,"line|temporal|Year|quantitative|Amount of energy used(kg of oil equivalent per capita)"
4452.png,"circle|temporal|Year|quantitative|Total reserves (current US$)"
5011.png,"circle|temporal|Year|quantitative|% of fertilizer production"
5000.png,"circle|temporal|Year|quantitative|Cost (as % of GNI)"
31938.png,"bar|temporal|Year|quantitative|Unemployed population (as % of total labor force ages 15-24)"
15710.png,"bar|quantitative|Total reserves (current US$)|temporal|Year"
16307.png,"bar|quantitative|% of children under 5 receiving oral rehydration|nominal|Country"
33546.png,"bar|temporal|Year|quantitative|Amount of stocks(% of population)"
4874.png,"circle|temporal|Year|quantitative|% of repeaters"
21613.png,"line|temporal|Year|quantitative|Teachers, male (%)"
22226.png,"line|temporal|Year|quantitative|Number of neonatal deaths"
32570.png,"bar|temporal|Year|quantitative|Cost(% of GNI per capita)"
16275.png,"bar|quantitative|Earning from trade(% of GDP)|temporal|Year"
16831.png,"bar|quantitative|Number of neonatal deaths|nominal|Country"
21735.png,"line|temporal|Year|quantitative|Women receiving prenatal care (%)"
32379.png,"bar|temporal|Year|quantitative|Per cubic meter of total freshwater withdrawal(constant 2005 US$ GDP)"
15151.png,"bar|quantitative|Percentage of repeaters (%)|nominal|Country"
15870.png,"bar|quantitative|Energy consumed(% of total)|nominal|Country"
32806.png,"bar|temporal|Year|quantitative|Unemployed total(% of total labor force ages 15-24)"
32126.png,"bar|temporal|Year|quantitative| Unmet need for contraception(% of married women ages 15-49)"
5198.png,"circle|temporal|Year|quantitative|Number of procedures to build a warehouse"
15398.png,"bar|quantitative|Number of workers (per 1,000 people)|nominal|Country"
31982.png,"bar|temporal|Year|quantitative|Area of land (hectares per person)"
16138.png,"bar|quantitative|Total reserves (current US$)|temporal|Year"
32008.png,"bar|temporal|Year|quantitative|Cost of computers, communications and other services (% of commerical service exports)"
16104.png,"bar|quantitative|% of children who received DPT vaccine|nominal|Country"
21658.png,"line|temporal|Year|quantitative|Population (as % of total population)"
33042.png,"bar|nominal|Country|quantitative|Rating (1=underdeveloped to 7=well developed) "
4828.png,"circle|temporal|Year|quantitative|Payments(% of exports of goods, services and primary income)"
16790.png,"bar|quantitative|Population in poverty (% of rural population)|temporal|Year"
4714.png,"circle|temporal|Year|quantitative|Investment (in US$)"
16489.png,"bar|quantitative|Total reserves (current US$)|temporal|Year"
33494.png,"bar|temporal|Year|quantitative|% of commercial services imports"
32807.png,"bar|temporal|Year|quantitative|Tuberculosis incidents (per 100,000 people)"
14978.png,"bar|quantitative|Number of tractors|temporal|Year"
21648.png,"line|temporal|Year|quantitative|Amount (in $)"
22151.png,"line|temporal|Year|quantitative|Per cubic meter of total freshwater withdrawal(constant 2005 US$ GDP)"
4449.png,"circle|temporal|Year|quantitative|Unemployment (% of male unemployment)"
15781.png,"bar|quantitative|Number (per 1,000 people)|temporal|Year"
16512.png,"bar|quantitative|Discrepancy in expenditure estimate of GDP (constant LCU)|temporal|Year"
32090.png,"bar|nominal|Country|quantitative|Unemployed population (as % of total labor force ages 15-24)"
16687.png,"bar|quantitative|Time (in hours)|temporal|Year"
5510.png,"circle|temporal|Year|quantitative|Unemployed females (as % of female labor force ages 15-24)"
16100.png,"bar|quantitative|Expenditure (as % of GDP per capita)|temporal|Year"
4845.png,"circle|temporal|Year|quantitative|Stocks(% of exports of goods, services and primary income)"
32468.png,"bar|nominal|Country|quantitative|Survival rate(%)"
16643.png,"bar|quantitative|Debt(% of exports of goods, services and primary income)|nominal|Country"
33431.png,"bar|temporal|Year|quantitative|Amount in kilograms"
16214.png,"bar|quantitative|Cost(% of GNI per capita)|nominal|Country"
4970.png,"circle|temporal|Year|quantitative|Waste generated(% of total energy)"
4500.png,"circle|temporal|Year|quantitative|Prive value of exports (constant LCU)"
21933.png,"line|temporal|Year|quantitative|Primary income (current US$)"
15045.png,"bar|quantitative|Workers(% of total employed)|nominal|Country"
5543.png,"circle|temporal|Year|quantitative|Primary income (current US$)"
21870.png,"line|temporal|Year|quantitative|Twenty- foot Equivalent Units(TEU)"
32293.png,"bar|nominal|Country|quantitative|Payments(% of exports of goods, services and primary income)"
4786.png,"circle|temporal|Year|quantitative|Amount of imports(% of total goods imports)"
15350.png,"bar|quantitative|Amount of CO2 emissions(kg per 2005 US$ of GDP)|nominal|Country"
5181.png,"circle|temporal|Year|quantitative|Population(%)"
32586.png,"bar|nominal|Country|quantitative|Number of total applications"
5481.png,"circle|temporal|Year|quantitative|Number of children"
32183.png,"bar|temporal|Year|quantitative|Cost of communications, computer etc. (% of service exports)"
32905.png,"bar|temporal|Year|quantitative|Domestic credit (% of GDP)"
32205.png,"bar|nominal|Country|quantitative|Vulnerable male employment (% of total male employment)"
15980.png,"bar|quantitative|Debt in Euros(%)|temporal|Year"
4523.png,"circle|temporal|Year|quantitative|Population growth (in %)"
33142.png,"bar|temporal|Year|quantitative|Number of children"
16412.png,"bar|quantitative|Amount of CO2 emissions(kg per 2005 US$ of GDP)|temporal|Year"
5395.png,"circle|temporal|Year|quantitative|Mean income or consumption per capita(2011 PPP $ per day)"
33144.png,"bar|temporal|Year|quantitative|Elevated land area (as % of total land area)"
21687.png,"line|temporal|Year|quantitative|Global Equity Indices (annual % change)"
32070.png,"bar|nominal|Country|quantitative|Cost(current US$)"
15622.png,"bar|quantitative|Annual freshwater withdrawals (billion cubic meters)|temporal|Year"
16670.png,"bar|quantitative|Prive value of exports (constant LCU)|temporal|Year"
32948.png,"bar|temporal|Year|quantitative|Unemployed males(% of male labor force ages 15-24)"
15881.png,"bar|quantitative|Earning from trade(% of GDP)|nominal|Country"
21568.png,"line|temporal|Year|quantitative|Annual freshwater withdrawals (% of internal resources)"
16698.png,"bar|quantitative|% of poverty lines|temporal|Year"
33543.png,"bar|temporal|Year|quantitative|Amount (in $)"
21732.png,"line|temporal|Year|quantitative|Total Vulnerable employment (% of total employment)"
4855.png,"circle|temporal|Year|quantitative|Number of servers(per 1 million people)"
32212.png,"bar|nominal|Country|quantitative|Population(%)"
4808.png,"circle|temporal|Year|quantitative|Unemployed population (as % of total labor force)"
21992.png,"line|temporal|Year|quantitative|Number of days"
32676.png,"bar|nominal|Country|quantitative|Workers(% of females employed)"
15730.png,"bar|quantitative|Unemployed total(% of total labor force ages 15-24)|temporal|Year"
32884.png,"bar|nominal|Country|quantitative|Unemployed males(% of male labor force ages 15-24)"
21789.png,"line|temporal|Year|quantitative|CO2 emissions (in kt)"
16072.png,"bar|quantitative|Amount of exports(% of total goods exports)|temporal|Year"
33249.png,"bar|nominal|Country|quantitative|Full-time workers(% of total employed)"
4616.png,"circle|temporal|Year|quantitative|Amount of CO2 emissions(kg per 2005 US$ of GDP)"
32175.png,"bar|temporal|Year|quantitative|Number of tax payers"
32060.png,"bar|temporal|Year|quantitative|Discrepancy in expenditure estimate of GDP (current LCU)"
21619.png,"line|temporal|Year|quantitative|Insurance services (% of commercial service imports)"
16183.png,"bar|quantitative|Amount spent (in $)|temporal|Year"
16406.png,"bar|quantitative|Survival Rate(%)|temporal|Year"
15577.png,"bar|quantitative|Female Labor Force(as % of total labor force)|nominal|Country"
16721.png,"bar|quantitative|% of births|nominal|Country"
31853.png,"bar|temporal|Year|quantitative|Population(%)"
15171.png,"bar|quantitative|Net Energy imports(% of energy use)|temporal|Year"
4965.png,"circle|temporal|Year|quantitative|Number of servers(per 1 million people)"
15343.png,"bar|quantitative|Survival Rate(%)|nominal|Country"
32342.png,"bar|nominal|Country|quantitative|Unemployed Males (% of male labor force)"
33267.png,"bar|temporal|Year|quantitative|Imports (% of total merchandise imports)"
32688.png,"bar|nominal|Country|quantitative|Agriculture value added per worker (constant 2005 US$)"
15459.png,"bar|quantitative|Expenditure (as % of GDP per capita)|temporal|Year"
5462.png,"circle|temporal|Year|quantitative|Emissions(metric tons per capita)"
32952.png,"bar|nominal|Country|quantitative|% of households"
31964.png,"bar|nominal|Country|quantitative|IMF credit(in current US$)"
32967.png,"bar|temporal|Year|quantitative|Population growth (in %)"
16335.png,"bar|quantitative|Value added (current Local Currency Unit)|nominal|Country"
32431.png,"bar|temporal|Year|quantitative|Debt(% of exports of goods, services and primary income)"
33215.png,"bar|temporal|Year|quantitative|% of households"
15386.png,"bar|quantitative|Unemployment (% of male unemployment)|nominal|Country"
33510.png,"bar|temporal|Year|quantitative|% of population"
5246.png,"circle|temporal|Year|quantitative|Twenty- foot Equivalent Units(TEU)"
16543.png,"bar|quantitative|Production in metric tons|nominal|Country"
21412.png,"line|temporal|Year|quantitative|% of tax revenue"
4450.png,"circle|temporal|Year|quantitative|International Reserves (current US$)"
33072.png,"bar|temporal|Year|quantitative|Number of beds (per 1,000 people)"
32840.png,"bar|nominal|Country|quantitative|Cost of communications, computer etc. (% of service imports)"
32299.png,"bar|temporal|Year|quantitative|Number of days"
22150.png,"line|temporal|Year|quantitative|Total reserves (current US$)"
21867.png,"line|temporal|Year|quantitative|% of firms"
21602.png,"line|temporal|Year|quantitative|Cost(current US$)"
5060.png,"circle|temporal|Year|quantitative|Net GHG emissions or removals (Mt of CO2 equivalent)"
22247.png,"line|temporal|Year|quantitative|Debt in Euros(%)"
15187.png,"bar|quantitative|Secondary income (in US$)|temporal|Year"
5247.png,"circle|temporal|Year|quantitative|% of women justifying domestic violence"
16682.png,"bar|quantitative|Losses(% of output)|temporal|Year"
15400.png,"bar|quantitative|Calories (kilocalories per person per day)|nominal|Country"
32998.png,"bar|temporal|Year|quantitative|Cost of computers, communications and other services (% of commerical service exports)"
5361.png,"circle|temporal|Year|quantitative|Net Energy imports(% of energy use)"
5182.png,"circle|temporal|Year|quantitative|% of poverty lines"
32624.png,"bar|nominal|Country|quantitative|% of poverty lines"
33625.png,"bar|temporal|Year|quantitative|Time spent(% of senior management time)"
15470.png,"bar|quantitative|Amount spent (in $)|temporal|Year"
15596.png,"bar|quantitative|Population(%)|nominal|Country"
15290.png,"bar|quantitative|Teachers, female (%)|nominal|Country"
32403.png,"bar|nominal|Country|quantitative|Average number of days"
33256.png,"bar|temporal|Year|quantitative|Rating (1=extremely inefficient to 7=extremely efficient)"
16425.png,"bar|quantitative|Clean energy produced (as % of total energy)|temporal|Year"
16751.png,"bar|quantitative|Unemployed females(% of female labor force ages 15-24)|nominal|Country"
15397.png,"bar|quantitative|Mean income or consumption per capita(2011 PPP $ per day)|temporal|Year"
4443.png,"circle|temporal|Year|quantitative|Unemployed males (as % of male labor force)"
16277.png,"bar|quantitative|Imports (% of GDP)|nominal|Country"
16717.png,"bar|quantitative|Unemployed females(% of female labor force ages 15-24)|nominal|Country"
33461.png,"bar|nominal|Country|quantitative|Total reserves (current US$)"
33224.png,"bar|nominal|Country|quantitative|Literacy rate(%)"
15556.png,"bar|quantitative|Unemployed Males (% of male labor force)|nominal|Country"
16749.png,"bar|quantitative|Total subscribers (per 100 people)|temporal|Year"
4984.png,"circle|temporal|Year|quantitative|Population in urban agglomerations (in %)"
21464.png,"line|temporal|Year|quantitative|Aid flow from DAC donars (current US$)"
22005.png,"line|temporal|Year|quantitative|Electric power consumption (kWh per capita)"
33432.png,"bar|temporal|Year|quantitative|Savings (current US$)"
4861.png,"circle|temporal|Year|quantitative|Number of procedures to build a warehouse"
4468.png,"circle|temporal|Year|quantitative|Total subscribers"
15207.png,"bar|quantitative|Number of total applications|nominal|Country"
4479.png,"circle|temporal|Year|quantitative|Rating (1=extremely inefficient to 7=extremely efficient)"
33108.png,"bar|temporal|Year|quantitative|Rating (1=extremely inefficient to 7=extremely efficient)"
22330.png,"line|temporal|Year|quantitative|Workers(% of females employed)"
33630.png,"bar|temporal|Year|quantitative|Discrepancy in expenditure estimate of GDP (constant LCU)"
31977.png,"bar|nominal|Country|quantitative|Number of passengers carried"
31826.png,"bar|nominal|Country|quantitative|Full-time workers(% of total employed)"
32104.png,"bar|temporal|Year|quantitative|IMF credit(in current US$)"
5328.png,"circle|temporal|Year|quantitative|Amount (in current US$)"
31783.png,"bar|nominal|Country|quantitative|Consumption of fixed capital (as % of GNI)"
22390.png,"line|temporal|Year|quantitative|Literacy rate(%)"
4498.png,"circle|temporal|Year|quantitative|Total Vulnerable employment (% of total employment)"
15574.png,"bar|quantitative|Stocks(% of exports of goods, services and primary income)|temporal|Year"
21610.png,"line|temporal|Year|quantitative|Number of neonatal deaths"
32329.png,"bar|nominal|Country|quantitative|Unemployed population (as % of total labor force)"
15229.png,"bar|quantitative|Savings (current US$)|nominal|Country"
4662.png,"circle|temporal|Year|quantitative|Primary income (current US$)"
15950.png,"bar|quantitative|Value (as % of sales)|temporal|Year"
22078.png,"line|temporal|Year|quantitative|% of commercial services imports"
21906.png,"line|temporal|Year|quantitative|Number of flight takeoffs"
16521.png,"bar|quantitative|Debt(% of exports of goods, services and primary income)|nominal|Country"
14997.png,"bar|quantitative|Workers(% of females employed)|nominal|Country"
21839.png,"line|temporal|Year|quantitative|Number of tractors"
22062.png,"line|temporal|Year|quantitative|Clean energy produced (as % of total energy)"
16069.png,"bar|quantitative|Current account balance (% of GDP)|temporal|Year"
16292.png,"bar|quantitative|Unemployed total(% of total labor force ages 15-24)|nominal|Country"
15709.png,"bar|quantitative|Amount of energy used(kg of oil equivalent per capita)|nominal|Country"
32181.png,"bar|temporal|Year|quantitative|Amount of imports(% of total goods imports)"
32525.png,"bar|temporal|Year|quantitative|Loss(as % of annual sales)"
22296.png,"line|temporal|Year|quantitative|Insurance services (% of service imports)"
32368.png,"bar|nominal|Country|quantitative|Unemployed males(% of male labor force ages 15-24)"
21792.png,"line|temporal|Year|quantitative|% of firms"
15606.png,"bar|quantitative|Waste generated(% of total energy)|nominal|Country"
15963.png,"bar|quantitative|Trained Teachers (% of total teachers)|temporal|Year"
16696.png,"bar|quantitative|Debt(current US$)|nominal|Country"
5367.png,"circle|temporal|Year|quantitative|Energy consumed(% of total)"
32359.png,"bar|temporal|Year|quantitative| Unmet need for contraception(% of married women ages 15-49)"
16499.png,"bar|quantitative|Savings (current US$)|temporal|Year"
22333.png,"line|temporal|Year|quantitative|Cost(current US$)"
16752.png,"bar|quantitative|Cost(current US$)|nominal|Country"
32051.png,"bar|temporal|Year|quantitative|% of male youth population"
15012.png,"bar|quantitative|Number of passengers carried|nominal|Country"
4908.png,"circle|temporal|Year|quantitative|Payments(% of exports of goods, services and primary income)"
15708.png,"bar|quantitative|Number of procedures to build a warehouse|temporal|Year"
16253.png,"bar|quantitative|Amount of electricity produced(kWh)|nominal|Country"
4732.png,"circle|temporal|Year|quantitative|Population(%)"
4738.png,"circle|temporal|Year|quantitative|Births attended by skilled health staff (% of total births)"
22083.png,"line|temporal|Year|quantitative|Unemployed population (as % of total labor force)"
21470.png,"line|temporal|Year|quantitative|Insurance services (% of service imports)"
5218.png,"circle|temporal|Year|quantitative|Number of total applications"
31828.png,"bar|temporal|Year|quantitative|Total Vulnerable employment (% of total employment)"
15719.png,"bar|quantitative|% of children who received DPT vaccine|temporal|Year"
15838.png,"bar|quantitative|Total reserves (current US$)|temporal|Year"
32062.png,"bar|nominal|Country|quantitative|Yield kg per hectare"
16134.png,"bar|quantitative|Amount spent (% of revenue)|temporal|Year"
4675.png,"circle|temporal|Year|quantitative|Aid flow from DAC donars (current US$)"
21335.png,"line|temporal|Year|quantitative|Amount of stocks(% of population)"
22198.png,"line|temporal|Year|quantitative|Number of meetings(average for affected firms)"
21842.png,"line|temporal|Year|quantitative|Number of total applications"
22304.png,"line|temporal|Year|quantitative|Enrollments (in %)"
16552.png,"bar|quantitative|Proportion of dependents per 100 working-age population|temporal|Year"
32934.png,"bar|temporal|Year|quantitative|Electric power consumption (kWh per capita)"
16502.png,"bar|quantitative|Number of meetings(average for affected firms)|temporal|Year"
32014.png,"bar|nominal|Country|quantitative|Population(% of urban population)"
21892.png,"line|temporal|Year|quantitative|Price level ratio"
15501.png,"bar|quantitative|Cost (as % of GNI)|temporal|Year"
16268.png,"bar|quantitative|Full-time workers(% of total employed)|nominal|Country"
31753.png,"bar|nominal|Country|quantitative|Total reserves (current US$)"
33361.png,"bar|temporal|Year|quantitative|% of reported infant deaths to estimated infant deaths"
22231.png,"line|temporal|Year|quantitative|Total subscribers"
15372.png,"bar|quantitative|Cost of computers, communications and other services (% of commerical service exports)|temporal|Year"
33429.png,"bar|nominal|Country|quantitative|Life expectancy(years)"
4768.png,"circle|temporal|Year|quantitative|Amount of CO2 emissions(kg per 2005 US$ of GDP)"
5482.png,"circle|temporal|Year|quantitative|Net Energy imports(% of energy use)"
33003.png,"bar|temporal|Year|quantitative|Stocks(% of exports of goods, services and primary income)"
5429.png,"circle|temporal|Year|quantitative|Production in metric tons"
32387.png,"bar|temporal|Year|quantitative|Personal remittance (current US$)"
16317.png,"bar|quantitative|Proportion of dependents per 100 working-age population|nominal|Country"
32504.png,"bar|nominal|Country|quantitative|% of households with a female head"
32716.png,"bar|nominal|Country|quantitative|Percentage of enrolment in primary education (%)"
15797.png,"bar|quantitative|Vulnerable male employment (% of total male employment)|nominal|Country"
33105.png,"bar|temporal|Year|quantitative|Number of children"
15006.png,"bar|quantitative|Number of beds (per 1,000 people)|temporal|Year"
32804.png,"bar|temporal|Year|quantitative|Value (as % of sales)"
4682.png,"circle|temporal|Year|quantitative|Number of meetings(average for affected firms)"
32268.png,"bar|temporal|Year|quantitative|Population(%)"
21946.png,"line|temporal|Year|quantitative|Information index(0=low to 8=high)"
15447.png,"bar|quantitative|Population growth (in %)|nominal|Country"
32753.png,"bar|temporal|Year|quantitative|Value added (constant Local Currency Unit)"
33057.png,"bar|temporal|Year|quantitative|Percentage of enrolment in primary education (%)"
15564.png,"bar|quantitative|Cost of computers, communications and other services (% of commerical service exports)|temporal|Year"
15568.png,"bar|quantitative|Twenty- foot Equivalent Units(TEU)|nominal|Country"
33419.png,"bar|nominal|Country|quantitative|Vulnerable male employment (% of total male employment)"
32442.png,"bar|nominal|Country|quantitative|Number of workers (per 1,000 people)"
16150.png,"bar|quantitative|Unemployment (% of male unemployment)|temporal|Year"
33260.png,"bar|nominal|Country|quantitative|% of reported total deaths to estimated total deaths"
5404.png,"circle|temporal|Year|quantitative|Unemployed females (as % of female labor force ages 15-24)"
15698.png,"bar|quantitative|Land (in sq. km)|nominal|Country"
22313.png,"line|temporal|Year|quantitative|Cost of computers, communications and other services (% of commerical service exports)"
14980.png,"bar|quantitative|Number of days|temporal|Year"
5033.png,"circle|temporal|Year|quantitative|Savings (current US$)"
15605.png,"bar|quantitative|Personal remittance (current US$)|nominal|Country"
4750.png,"circle|temporal|Year|quantitative|Production in metric tons"
21665.png,"line|temporal|Year|quantitative|Land (in sq. km)"
16669.png,"bar|quantitative|% of women ages 15-49|temporal|Year"
4584.png,"circle|temporal|Year|quantitative|Unemployment (% of total unemployment)"
32399.png,"bar|nominal|Country|quantitative|Percentage of enrolment in primary education (%)"
33428.png,"bar|nominal|Country|quantitative|Emissions(metric tons per capita)"
4725.png,"circle|temporal|Year|quantitative|Percentage of repeaters (%)"
4888.png,"circle|temporal|Year|quantitative|Internet users (% of population)"
5177.png,"circle|temporal|Year|quantitative|% of population"
16320.png,"bar|quantitative|Calories (kilocalories per person per day)|nominal|Country"
21905.png,"line|temporal|Year|quantitative|Birth Registration (in %)"
5190.png,"circle|temporal|Year|quantitative|Number of passengers carried"
15033.png,"bar|quantitative|Survival rate(%)|nominal|Country"
15313.png,"bar|quantitative|Population(%)|nominal|Country"
16590.png,"bar|quantitative|Amount (in current US$)|temporal|Year"
15010.png,"bar|quantitative|% of fertilizer production|temporal|Year"
32557.png,"bar|temporal|Year|quantitative|Workers(% of males employed)"
32247.png,"bar|temporal|Year|quantitative|Yield kg per hectare"
21984.png,"line|temporal|Year|quantitative|Women receiving prenatal care (%)"
33304.png,"bar|temporal|Year|quantitative|International Reserves (current US$)"
16439.png,"bar|quantitative|Cereal Production (hectares)|nominal|Country"
31944.png,"bar|nominal|Country|quantitative|Losses(% of output)"
15261.png,"bar|quantitative|Cereal Production (hectares)|nominal|Country"
21415.png,"line|temporal|Year|quantitative|Rating (1=underdeveloped to 7=well developed) "
33195.png,"bar|nominal|Country|quantitative|Number (per 1,000 people)"
31895.png,"bar|nominal|Country|quantitative|Number (per 1,000 people)"
15722.png,"bar|quantitative|Net Energy imports(% of energy use)|temporal|Year"
15164.png,"bar|quantitative|Unemployment (% of total unemployment)|nominal|Country"
5243.png,"circle|temporal|Year|quantitative|Population (as % of total population)"
21438.png,"line|temporal|Year|quantitative|Cost of computers, communications and other services (% of commerical service exports)"
32723.png,"bar|nominal|Country|quantitative|Number of days"
16211.png,"bar|quantitative|Amount of CO2 emissions(kg per 2005 US$ of GDP)|temporal|Year"
15536.png,"bar|quantitative|Amount of stocks(% of population)|nominal|Country"
15506.png,"bar|quantitative|Value added (current Local Currency Unit)|temporal|Year"
4784.png,"circle|temporal|Year|quantitative|Life expectancy(years)"
16063.png,"bar|quantitative|Amount of imports(% of total goods imports)|nominal|Country"
33529.png,"bar|nominal|Country|quantitative|Internet users (% of population)"
22002.png,"line|temporal|Year|quantitative|% of fertilizer production"
4816.png,"circle|temporal|Year|quantitative|Energy consumed(% of total)"
16578.png,"bar|quantitative|Total Vulnerable employment (% of total employment)|nominal|Country"
33015.png,"bar|temporal|Year|quantitative|Number of days"
21963.png,"line|temporal|Year|quantitative|Detection rate (%, all forms)"
4857.png,"circle|temporal|Year|quantitative|Unemployed Males (% of male labor force)"
16224.png,"bar|quantitative|Armed forces personnel|temporal|Year"
15323.png,"bar|quantitative|Value added (constant Local Currency Unit)|nominal|Country"
16109.png,"bar|quantitative|Full-time male workers(% of males employed)|temporal|Year"
15508.png,"bar|quantitative|Unemployed males (as % of male labor force ages 15-24)|temporal|Year"
16710.png,"bar|quantitative|Number of tractors|temporal|Year"
31984.png,"bar|nominal|Country|quantitative|Part-time male workers(% of males employed)"
4559.png,"circle|temporal|Year|quantitative|Clean energy produced (as % of total energy)"
4537.png,"circle|temporal|Year|quantitative|Unemployment (% of male unemployment)"
32251.png,"bar|nominal|Country|quantitative|Part-time workers(% of total employed)"
33653.png,"bar|nominal|Country|quantitative|Full-time male workers(% of males employed)"
33520.png,"bar|temporal|Year|quantitative|% of commercial services imports"
33180.png,"bar|nominal|Country|quantitative|Unemployment (% of female unemployment)"
4921.png,"circle|temporal|Year|quantitative|Official exchange rate (LCU per US$ period average)"
14999.png,"bar|quantitative|Unemployment (% of total unemployment)|nominal|Country"
16135.png,"bar|quantitative|Unemployed laborers (% of total labor force)|nominal|Country"
22357.png,"line|temporal|Year|quantitative|Number of days"
4570.png,"circle|temporal|Year|quantitative|Internet users (% of population)"
5431.png,"circle|temporal|Year|quantitative|Emissions(metric tons per capita)"
15381.png,"bar|quantitative|Rating index(maximum value in 2004 = 100)|temporal|Year"
33601.png,"bar|nominal|Country|quantitative|Life expectancy(years)"
22326.png,"line|temporal|Year|quantitative|Unemployment (% of male unemployment)"
32146.png,"bar|temporal|Year|quantitative|% of poverty lines"
15695.png,"bar|quantitative|Unemployed males (as % of male labor force)|nominal|Country"
32680.png,"bar|nominal|Country|quantitative|Number of tractors"
15601.png,"bar|quantitative|Amount of money (in US$)|nominal|Country"
15579.png,"bar|quantitative|Losses(% of output)|temporal|Year"
21343.png,"line|temporal|Year|quantitative|Savings (current US$)"
15332.png,"bar|quantitative|Imports (% of GDP)|nominal|Country"
21803.png,"line|temporal|Year|quantitative|Population in poverty (% of rural population)"
21347.png,"line|temporal|Year|quantitative|Unemployed population (as % of total labor force)"
16355.png,"bar|quantitative|% of tax revenue|temporal|Year"
32383.png,"bar|nominal|Country|quantitative|Cereal Production (hectares)"
32906.png,"bar|nominal|Country|quantitative|Number of power outages"
32467.png,"bar|nominal|Country|quantitative|Percentage of repeaters (%)"
15923.png,"bar|quantitative|Unemployed males (as % of male labor force ages 15-24)|temporal|Year"
31839.png,"bar|temporal|Year|quantitative|Energy consumed(% of total)"
15799.png,"bar|quantitative|Population (as % of total population)|nominal|Country"
16824.png,"bar|quantitative|Population(%)|nominal|Country"
4579.png,"circle|temporal|Year|quantitative|Production in metric tons"
4815.png,"circle|temporal|Year|quantitative|Number of total applications"
15337.png,"bar|quantitative|Number of children|temporal|Year"
21800.png,"line|temporal|Year|quantitative|Rating index(maximum value in 2004 = 100)"
32894.png,"bar|nominal|Country|quantitative|Enrollment rate (%)"
4556.png,"circle|temporal|Year|quantitative|Intensity (kg per kg of oil equivalent energy use)"
5245.png,"circle|temporal|Year|quantitative|Cost (as % of GNI)"
5046.png,"circle|temporal|Year|quantitative|Armed forces personnel"
21457.png,"line|temporal|Year|quantitative|% of reported total deaths to estimated total deaths"
32248.png,"bar|temporal|Year|quantitative|Amount of imports(% of total goods imports)"
4853.png,"circle|temporal|Year|quantitative|Average number of days"
32226.png,"bar|nominal|Country|quantitative|Electricity production (% of total)"
16140.png,"bar|quantitative|Domestic credit (% of GDP)|nominal|Country"
15247.png,"bar|quantitative|Women receiving prenatal care (%)|nominal|Country"
22061.png,"line|temporal|Year|quantitative|Number of neonatal deaths"
32419.png,"bar|temporal|Year|quantitative|Debt(% of exports of goods, services and primary income)"
15565.png,"bar|quantitative|% of fertilizer production|temporal|Year"
5508.png,"circle|temporal|Year|quantitative|Time spent(% of senior management time)"
15717.png,"bar|quantitative|Personal remittance (current US$)|temporal|Year"
